searge,name,side,desc
field_100000_e,spawnChances,0,Chances for slimes to spawn in swamps for every moon phase.
field_100001_o,doneBtn,0,"""Done"" button for the GUI."
field_100002_d,cancelBtn,0,
field_100003_c,doneBtn,0,
field_100010_b,iconArray,0,
field_100013_f,isPotionDurationMax,0,"True if potion effect duration is at maximum, false otherwise."
field_70009_b,buffer,0,RCon string buffer for log.
field_70010_a,consoleBuffer,0,only ever used by MinecraftServer.executeCommand
field_70116_cv,serverPosZ,0,
field_70117_cu,serverPosY,0,
field_70118_ct,serverPosX,0,
field_70119_cs,cloakUrl,0,downloadable location of player's cloak
field_70120_cr,skinUrl,0,downloadable location of player's skin
field_70121_D,boundingBox,0,Axis aligned bounding box.
field_70122_E,onGround,0,
field_70123_F,isCollidedHorizontally,0,True if after a move this entity has collided with something on X- or Z-axis
field_70124_G,isCollidedVertically,0,True if after a move this entity has collided with something on Y-axis
field_70125_A,rotationPitch,0,Entity rotation Pitch
field_70126_B,prevRotationYaw,0,
field_70127_C,prevRotationPitch,0,
field_70128_L,isDead,0,"Gets set by setDead, so this must be the flag whether an Entity is dead (inactive may be better term)"
field_70129_M,yOffset,0,
field_70130_N,width,0,How wide this entity is considered to be
field_70131_O,height,0,How high this entity is considered to be
field_70132_H,isCollided,0,True if after a move this entity has collided with something either vertically or horizontally
field_70133_I,velocityChanged,0,
field_70134_J,isInWeb,0,
field_70136_U,lastTickPosZ,0,"The entity's Z coordinate at the previous tick, used to calculate position during rendering routines"
field_70137_T,lastTickPosY,0,"The entity's Y coordinate at the previous tick, used to calculate position during rendering routines"
field_70138_W,stepHeight,0,How high this entity can step up when running into a block to try to get over it (currently make note the entity will always step up this amount and not just the amount needed)
field_70139_V,ySize,0,
field_70140_Q,distanceWalkedModified,0,The distance walked multiplied by 0.6
field_70141_P,prevDistanceWalkedModified,0,The previous ticks distance walked multiplied by 0.6
field_70142_S,lastTickPosX,0,"The entity's X coordinate at the previous tick, used to calculate position during rendering routines"
field_70143_R,fallDistance,0,
field_70144_Y,entityCollisionReduction,0,Reduces the velocity applied by entity collisions by the specified percent.
field_70145_X,noClip,0,Whether this entity won't clip with collision or not (make note it won't disable gravity)
field_70146_Z,rand,0,
field_70147_f,entityRiderYawDelta,0,
field_70148_d,firstUpdate,0,
field_70149_e,entityRiderPitchDelta,0,
field_70150_b,nextStepDistance,0,The distance that has to be exceeded in order to triger a new step sound and an onEntityWalking event on a block
field_70151_c,fire,0,
field_70152_a,nextEntityID,0,
field_70153_n,riddenByEntity,0,The entity that is riding this entity
field_70154_o,ridingEntity,0,The entity we are currently riding
field_70155_l,renderDistanceWeight,0,
field_70156_m,preventEntitySpawning,0,Blocks entities from spawning when they do their AABB check to make sure the spot is clear of entities that can prevent spawning.
field_70157_k,entityId,0,
field_70158_ak,ignoreFrustumCheck,0,Render entity even if it is outside the camera frustum. Only true in EntityFish for now. Used in RenderGlobal: render if ignoreFrustumCheck or in frustum.
field_70159_w,motionX,0,Entity motion X
field_70160_al,isAirBorne,0,
field_70161_v,posZ,0,Entity position Z
field_70162_ai,chunkCoordY,0,
field_70163_u,posY,0,Entity position Y
field_70164_aj,chunkCoordZ,0,
field_70165_t,posX,0,Entity position X
field_70166_s,prevPosZ,0,
field_70167_r,prevPosY,0,
field_70168_am,myEntitySize,0,
field_70169_q,prevPosX,0,
field_70170_p,worldObj,0,Reference to the World object.
field_70171_ac,inWater,0,Whether this entity is currently inside of water (if it handles water movement that is)
