searge,name,side,desc
func_100008_d,isDurationMax,0,"Returns true if duration is at maximum, false otherwise."
func_100009_j_,getFacing,0,
func_100011_g,getIsPotionDurationMax,0,
func_100012_b,setPotionDurationMax,0,Toggle the isPotionDurationMax field.
func_100015_a,isKeyDown,0,Returns whether the specified key binding is currently being pressed.
func_102007_a,canInsertItem,0,"Returns true if automation can insert the given item in the given slot from the given side. Args: Slot, item, side"
func_102008_b,canExtractItem,0,"Returns true if automation can extract the given item in the given slot from the given side. Args: Slot, item, side"
func_102013_b,canExtractItemFromInventory,0,
func_102026_a,isBlockTopFacingSurfaceSolid,0,"Performs check to see if the block is a normal, solid block, or if the metadata of the block indicates that its facing puts its solid side upwards. (inverted stairs, for example)"
func_102028_d,isSplashPotionEffect,0,
func_70000_a,addServerStatsToSnooper,0,
func_70001_b,addServerTypeToSnooper,0,
func_70002_Q,isSnooperEnabled,0,Returns whether snooping is enabled or not.
func_70003_b,canCommandSenderUseCommand,0,Returns true if the command sender is allowed to use the given command.
func_70004_a,translateString,0,Translates and formats the given string key with the given arguments.
func_70005_c_,getCommandSenderName,0,"Gets the name of this command sender (usually username, but possibly ""Rcon"")"
func_70006_a,sendChatToPlayer,0,
func_70007_b,resetLog,0,Clears the RCon log
func_70008_c,getChatBuffer,0,
func_70011_f,getDistance,0,"Gets the distance to the position. Args: x, y, z"
func_70012_b,setLocationAndAngles,0,Sets the location and Yaw/Pitch of an entity in the world
func_70013_c,getBrightness,0,Gets how bright this entity is.
func_70014_b,writeEntityToNBT,0,(abstract) Protected helper method to write subclass entity data to NBT.
func_70015_d,setFire,0,"Sets entity to burn for x amount of seconds, cannot lower amount of existing fire."
func_70016_h,setVelocity,0,"Sets the velocity to the args. Args: x, y, z"
func_70017_D,doBlockCollisions,0,"Checks for block collisions, and calls the associated onBlockCollided method for the collided block."
func_70018_K,setBeenAttacked,0,Sets that this entity has been attacked.
func_70019_c,setEating,0,
func_70020_e,readFromNBT,0,Reads the entity from NBT (calls an abstract helper method to read specialized data)
func_70021_al,getParts,0,Return the Entity parts making up this Entity (currently only for dragons)
func_70022_Q,getEntityString,0,Returns the string that identifies this Entity's class
func_70023_ak,getEntityName,0,Gets the username of the entity.
func_70024_g,addVelocity,0,"Adds to the current velocity of the entity. Args: x, y, z"
func_70025_b,dropItem,0,"Drops an item stack at the entity's position. Args: itemID, count"
func_70026_G,isWet,0,Checks if this entity is either in water or on an open air block in rain (used in wolves).
func_70027_ad,isBurning,0,Returns true if the entity is on fire. Used by render to add the fire effect on rendering.
func_70028_i,isEntityEqual,0,Returns true if Entity argument is equal to this Entity
